"Reference","Value","DNP","Manufacturer_Part_Number"
"J51,J53,J54,J56,J201,JP51,JP52,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8","-- mixed values --","",""
"J52","USB_B_Micro","","1051330011"
"C153","470u","","865080562016"
"C104,C105,C106,C107","1n","","885012207060"
"C27,C36,C45","1u","","12063C105KAT2A"
"C24,C28,C33,C37,C42,C46","1n","","12065C102KAT2A"
"U103","ADS1015IDGS","","ADS1015IDGSR"
"U13,U14,U15","AMC3336","","AMC3336DWER"
"U152","3V3 Switching Reg","","AP63203WU-7"
"J101,J102,J103,J104,J105,J106","JST","","B2B-XH-A"
"B201","BH-25C-1","","BH-25C-1"
"C25,C26,C34,C35,C43,C44","1n","","C0603C102K5RACTU"
"C10,C12,C13,C14,C17,C19,C23,C29,C32,C38,C41,C47","100n","","C0603C104K5RACAUTO"
"C205,C206","4.7p","","C0805C479D3HACTU"
"C151","22u","","C2012X5R1V226M125AC"
"C21,C30,C39","100n","","C3216NP01H104J160AA"
"R120,R123,R126,R129","0.02","","CFN1206-FX-R020ELF"
"C22,C31,C40","1u","","CGA3E1X7R1E105K080AC"
"C53,C157,C159,C160,C202","22u","","CL21A226MQQNNNG"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C15,C16,C18,C20,C51,C52,C54,C101,C102,C103,C108,C109,C111,C112,C114,C152,C154,C155,C158,C201,C203,C204","100n","","CL21B104KACNFNC"
"C110,C113,C115,C156","10u","","CL21B106KOQNNNG"
"J2,J3","CONBNC002","","CONBNC002"
"R67,R68,R71,R74,R75,R77,R78,R85,R101,R108,R110,R112,R114,R116,R118,R121,R124,R127,R151,R202,R203","220","","CRCW0805220RJNEA"
"R56,R58,R88,R102,R109,R111,R113,R115,R117,R119,R122,R125,R128,R152,R153,R154,R201,R206","10k","","CRCW080510K0JNEA"
"R51,R52,R53,R54,R55,R57,R59,R60,R65,R66,R70,R72,R73,R79,R80,R81,R82,R83,R84","22","","CRCW080522R0FKEA"
"D62","TVS","","DESD12VL2BTQ-7"
"D1,D2,D3,D4,D51,D54,D55,D56,D57,D58,D59,D60,D61,D201","TVS","","DESD5V0L2BTQ-7"
"L152","4.7uH","","DR73-4R7-R"
"U52","TVS","","DT1042-04TS-7"
"R86","1K","","ERA-6AEB102V"
"R69,R76,R87,R204,R205","2K2","","ERA-6AEB222V"
"R21,R24,R27","47k","","ERA-6AEB473V"
"D52,D53","D_TVS_Dual_AAC","","ESD752DBZ"
"U202","ESP32-S3-WROOM-1-N16R8","","ESP32-S3-WROOM-1-N16R8"
"J61","Screen","","FFC2B35-14-T"
"K151","G5LE-1","","G5LE-1 DC9"
"U101","INA4180","","INA4180A3IPWR"
"Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q151,Q152","MOSFET","","IRLML6344TRPBF"
"R103","0.05","","KDV08FR050ET"
"J151","Barrel_Jack_Switch","","KLDLX-0202-A"
"U1,U2,U11","Opamp_Dual","","LMP2232BMAE/NOPB"
"U151","~","","LMR51606YDBVR"
"D152","LED","","LTST-C171GKT"
"U5","ISO7320C","","MAX22420FASA+"
"U203","MCP7940N-xSN","","MCP7940NT-I/SN"
"U201","MCP23017_SO","","MCP23017-E/SO"
"U3,U6,U7","MCP1501-10xCH","","MCP1502T-10E/CHY"
"U153,U154","~","","NID5100-Q100H"
"SW201,SW202","-- mixed values --","","PTS636 SM43 SMTR LFS"
"R104,R105,R106,R107","51","","RC0805FR-0751RL"
"R62,R63","10","","RC0805FR-1010RL"
"R61,R64","120","","RC0805FR-07120RL"
"R6,R8,R9,R13,R15,R16,R157","1K","","RG2012P-102-B-T5"
"R3,R7,R10,R11,R12,R14,R156","10k","","RG2012P-103-B-T5"
"R1,R2,R4,R5,R17,R18,R19,R20,R22,R23,R25,R26,R155","100k","","RG2012P-104-B-T5"
"CR101,CR102,CR103,CR104,CR105,CR106,CR107,CR108,CR109,CR110,CR151","FLYBACK","","SBR3U40S1FQ-7"
"Y201","Crystal","","SC32S-7PF20PPM"
"D151","SMCJ33A","","SMCJ33A"
"U12,U102","4052","","SN74LV4052ADR"
"U4","74LVC1G86","","SN74LVC1G86DBVR"
"J55,J58","Screw_Terminal_01x03","","TB0011-350-03BE"
"J107,J108,J109,J110","5.08x02 Pluggable Screw","","TBP01R1-508-02BE"
"J1,J4","3.50x02 Pluggable Screw","","TBP03R1-350-02BE"
"J59,J62","Screw_Terminal_01x03","","TBP03R1-350-03BE"
"J60","Screw_Terminal_01x04","","TBP03R1-350-04BE"
"U51","TCAN330","","TCAN330DR"
"U53","THVD1420D","","THVD1450DR"
"U10","TS3A24159DGSR","","TS3A24159DGSR"
"U8,U9","TS3A44159PWR","","TS3A44159PWR"
"L151","47uH","","VLS6045EX-470M"
