"Reference","Value","Qty","DNP","Manufacturer_Part_Number","Description"
"J1,J3","Conn_01x01_Pin","2","","","Generic connector, single row, 01x01, script generated"
"F1,F2,F3","Fuse","3","","3404.2422.11","Fuse"
"C7","220u","1","","865080345012","865080345012"
"C29,C30,C48,C50,C51,C54,C68,C69,C70,C71","1n","10","","885012207060","Unpolarized capacitor"
"U3,U10,U16","74LVC1G3157GV,125","3","","74LVC1G3157GV,125","SPDT Analog Switch, Low-Voltage CMOS"
"U18","ADS1015IDGS","1","","ADS1015IDGSR","Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10"
"U24,U25","AMC1336DWVR","2","","AMC1336DWVR",""
"U7,U22","AMC3336","2","","AMC3336DWER","Reinforced Isolated Delta-Sigma Modulator With Integrated DC/DC Converter, SOIC-16W"
"U4","3V3 Switching Reg","1","","AP63203WU-7","3v3 Switching Regulator"
"J_DOSE_1,J_DOSE_2,J_DOSE_3,J_DOSE_4,J_DOSE_5,J_DOSE_6","JST","6","","B2B-XH-A","Generic connector, single row, 01x02, script generated"
"B1","BH-25C-1","1","","BH-25C-1","Single-cell battery"
"C8,C42,C60,C61,C62,C63","2.2u","6","","C2012X7R1H225K125AC","Unpolarized capacitor"
"C2,C5,C11,C12","22u","4","","CL21A226MQQNNNG","CL21A226MQQNNNG"
"C1,C3,C4,C6,C10,C16,C18,C24,C25,C26,C28,C33,C35,C36,C37,C38,C41,C45,C47,C49,C55,C58,C59,C64,C65,C66,C67,C72,C73,C74,C75","100n","31","","CL21B104KACNFNC","MLCC"
"C13,C27,C31,C46,C53,C57","1u","6","","CL21B105KAFNNNE","Unpolarized capacitor"
"C9,C23","10u","2","","CL21B106KOQNNNG","Unpolarized capacitor"
"C43,C44,C52,C56","4.7n","4","","CL21B472KBANNNC","Unpolarized capacitor"
"C40","47uF","1","","CL32A476KOJNNNE","Unpolarized capacitor"
"J_pH1,J_pH3","CONBNC002","2","","CONBNC002","CONBNC002"
"R3,R5,R6,R9,R11,R13,R15,R17,R18,R19,R25,R27,R30,R34,R53,R61","220","16","","CRCW0805220RJNEA","Resistor"
"R7,R8,R10,R12,R14,R24,R26,R32,R35,R40,R49,R51,R54,R55,R56","10k","15","","CRCW080510K0JNEA","Resistor"
"Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q11,Q12","MOSFET","9","","DMG1012UW-7","-- mixed values --"
"Q1,Q8,Q9","MOSFET","3","","DMN3404L-7","DMN3404L-7"
"L1","4.7uH","1","","DR73-4R7-R","Inductor"
"R52","1K","1","","ERA-6AEB102V","Resistor"
"R20,R21,R22","2K2","3","","ERA-6AEB222V","Resistor"
"R48","174K","1","","ERJ-6ENF1743V","Resistor"
"U2","ESP32-S3-WROOM-1-N16R8","1","","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1-N16R8"
"U5","INA4180","1","","INA4180A3IPWR","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14"
"U12","Isolator","1","","ISO7720FDR",""
"R37","0.05","1","","KDV08FR050ET","Resistor"
"J2","Barrel_Jack_Switch","1","","KLDLX-0202-A","DC Barrel Jack with an internal switch"
"C14,C15,C17,C19,C20,C21,C22,C32,C34","1u","9","","LMK212BJ105KG-T","Unpolarized capacitor"
"U23","LMR51430","1","","LMR51430XDDCR","4.5-V to 36-V, 3-A synchronous buck converter with 40-µA IQ, SOT-23-6"
"3V3_D2,12V_D1","LED","2","","LTST-C171GKT","Light emitting diode"
"R16,R36,R50","0.01","3","","LVT12R0100FER","Resistor"
"U17","MCP7940N-xSN","1","","MCP7940NT-I/SN","Real-Time Clock, I2C, Battery Backup, SOIC-8"
"U11","MCP23017_SO","1","","MCP23017-E/SO","16-bit I/O expander, I2C, interrupts, w pull-ups, SOIC-28"
"U13","MCP1501-18xCH","1","","MCP1501T-18E/CHY","1.8V, 0.1%, 20mA, Precision Voltage Reference, SOT-23-6"
"L5","22uH","1","","NS10165T220MNA","Inductor"
"U15","NXE1S0303MC","1","","NXE1S0303MC-R13","1W 3.3V to 3.3V 303mA DC-DC Converter with 3kV isolation"
"BOOT1,RESET1","-- mixed values --","2","","PTS636 SM43 SMTR LFS","-- mixed values --"
"R1,R4,R33,R38,R39,R41,R42,R43,R45,R46,R47,R57,R58,R59,R60","51","15","","RC0805FR-0751RL","Resistor"
"R23,R28,R29,R31,R44","-- mixed values --","5","","RG2012P-103-B-T5","Resistor"
"R2","510","1","","RMCF0805JT510R","Resistor"
"U1,U21","RS8522XK","2","","RS8522XK","Dual Rail-to-Rail Input/Output Operational Amplifier, DIP-8/SOIC-8/VSSOP-8"
"CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR10","FLYBACK","9","","SBR3U40S1FQ-7","1000V 1A General Purpose Rectifier Diode, DO-41"
"Y1","Crystal","1","","SC32S-7PF20PPM","Two pin crystal"
"L2","15uH","1","","SRN2012T-150K","Inductor"
"J_SCREEN1","Screen","1","","SSQ-114-03-T-S","Generic connector, single row, 01x14, script generated"
"J_CFG_1,J_CFG_2,J_CFG_3","5.08x02 Pluggable Screw","3","","TBP02R1-381-02BE","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J_EC1,J_TEMP1","3.50x02 Pluggable Screw","2","","TBP03R1-350-02BE","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J_DIG_1,J_FLOAT_1","Screw_Terminal_01x03","2","","TBP03R1-350-03BE","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J_I2C1","Screw_Terminal_01x04","1","","TBP03R1-350-04BE","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"U8,U19,U20","TPS60400DBV","3","","TPS60400DBVR","Unregulated 60-mA Charge Pump Voltage Inverter with Variable Switching Frequency 50 kHz - 250 kHz, SOT-23-5"
"U14,U30","TPS7A0522PDBZ","2","","TPS7A0522PDBZR","200-mA Ultra-Low-Iq LDO, 2.2V, SOT-23-3"
